Province,Year,Harvest Area(ha),Productivity (ku/ha),Production(ton),Island
East Nusa Tenggara,2019,198867.41,40.82,811724.18,Bali–Nusa Tenggara
East Nusa Tenggara,2020,181690.63,39.9,725024.3,Bali–Nusa Tenggara
East Nusa Tenggara,2021,174900.07,41.85,731877.74,Bali–Nusa Tenggara
East Nusa Tenggara,2022,183092.0,41.29,756049.9,Bali–Nusa Tenggara
East Nusa Tenggara,2023,184698.89,41.52,766810.46,Bali–Nusa Tenggara
East Nusa Tenggara,2024,168727.24,41.95,707792.54,Bali–Nusa Tenggara
Papua,2018,52411.95,42.57,223119.42,Papua
Papua,2019,54131.72,43.48,235339.51,Papua
Papua,2020,52727.52,31.48,166002.3,Papua
Papua,2021,64984.9,44.05,286279.8,Papua
Papua,2022,49741.91,38.99,193943.5,Papua
Papua,2023,47756.38,173.61,196723.13,Papua
Papua,2024,49682.92,175.46,228514.33000000002,Papua
West Papua,2018,7767.01,32.15,24967.13,Papua
West Papua,2019,7192.15,41.63,29943.56,Papua
West Papua,2020,7570.63,32.2,24378.33,Papua
West Papua,2021,6414.94,41.98,26926.93,Papua
West Papua,2022,5460.59,43.89,23963.92,Papua
West Papua,2023,5586.1,86.42,24963.760000000002,Papua
West Papua,2024,5485.0,67.65,21717.79,Papua
Riau,2018,71448.08,37.28,266375.53,Sumatra
Riau,2019,63142.04,36.56,230873.97,Sumatra
Riau,2020,64733.13,37.64,243685.04,Sumatra
Riau,2021,53062.35,40.98,217458.87,Sumatra
Riau,2022,51054.04,41.83,213557.2,Sumatra
Riau,2023,51914.14,39.68,205972.55,Sumatra
Riau,2024,56421.96,39.36,222055.71,Sumatra
West Sulawesi,2018,65303.78,48.46,316478.37,Sulawesi
West Sulawesi,2019,62581.47,47.96,300142.22,Sulawesi
West Sulawesi,2020,64826.18,53.23,345050.37,Sulawesi
West Sulawesi,2021,59763.18,52.05,311072.46,Sulawesi
West Sulawesi,2022,69323.95,50.99,353513.3,Sulawesi
West Sulawesi,2023,58606.67,49.73,291458.59,Sulawesi
West Sulawesi,2024,63181.59,50.47,318876.59,Sulawesi
South Sulawesi,2018,1185484.1,50.21,5952616.45,Sulawesi
South Sulawesi,2019,1010188.75,50.03,5054166.96,Sulawesi
South Sulawesi,2020,976258.14,48.23,4708464.97,Sulawesi
South Sulawesi,2021,985158.23,51.67,5090637.23,Sulawesi
South Sulawesi,2022,1038084.0,51.64,5360169.0,Sulawesi
South Sulawesi,2023,967790.21,50.39,4876386.11,Sulawesi
South Sulawesi,2024,951308.6,50.65,4818429.39,Sulawesi
Central Sulawesi,2018,201279.24,46.05,926978.66,Sulawesi
Central Sulawesi,2019,186100.44,45.4,844904.3,Sulawesi
Central Sulawesi,2020,178066.94,44.49,792248.84,Sulawesi
Central Sulawesi,2021,182186.62,47.59,867012.77,Sulawesi
Central Sulawesi,2022,168993.2,44.05,744408.7,Sulawesi
Central Sulawesi,2023,177699.03,46.22,821367.41,Sulawesi
Central Sulawesi,2024,172606.22,44.14,761936.39,Sulawesi
Southeast Sulawesi,2018,136673.75,39.43,538876.14,Sulawesi
Southeast Sulawesi,2019,132343.86,39.27,519706.93,Sulawesi
Southeast Sulawesi,2020,133697.15,39.85,532773.49,Sulawesi
