Province,Harvest Area (ha),Productivity (ku/ha),Production (Ton),Year,Island
West Sulawesi,5617.09,51.8,29097.91,2023,Sulawesi
Maluku,2357.12,32.51,7663.29,2023,Maluku
North Maluku,1612.53,42.61,6870.64,2023,Maluku
West Papua,735.0,45.05,3311.21,2023,Papua
Papua,274.82,51.39,1412.21,2023,Papua
Papua,798.27,42.95,3428.88,2023,Papua
Papua,15.32,45.16,69.18,2023,Papua
Papua,2092.54,43.4,9081.61,2023,Papua
Papua,66.31,42.05,278.85,2023,Papua
Aceh,10090.26,51.78,52249.4,2024,Sumatra
North Sumatra,210586.1,65.24,1373900.0,2024,Sumatra
West Sumatra,83918.48,61.76,518315.8,2024,Sumatra
Riau,327.17,34.83,1139.41,2024,Sumatra
Jambi,1514.03,69.56,10530.87,2024,Sumatra
South Sumatra,53171.15,63.76,338998.6,2024,Sumatra
Bengkulu,9861.27,63.76,62876.83,2024,Sumatra
Lampung,170016.6,65.15,1107739.0,2024,Sumatra
Bangka Belitung Islands,0.0,57.16,0.0,2024,Sumatra
Riau Islands,2.49,48.19,12.0,2024,Sumatra
Jakarta,0.0,0.0,0.0,2024,Java
West Java,77992.51,72.35,564290.8,2024,Java
Central Java,412338.4,58.85,2426509.0,2024,Java
Daerah Istimewa Yogyakarta,37546.96,50.44,189378.3,2024,Java
East Java,739157.3,62.18,4595792.0,2024,Java
Banten,2112.0,60.02,12677.14,2024,Java
Bali,7669.79,50.92,39055.43,2024,Bali–Nusa Tenggara
West Nusa Tenggara,173759.8,69.62,1209784.0,2024,Bali–Nusa Tenggara
East Nusa Tenggara,108816.1,26.93,293052.3,2024,Bali–Nusa Tenggara
West Kalimantan,19449.93,46.49,90419.41,2024,Kalimantan
Central Kalimantan,8555.57,52.17,44638.26,2024,Kalimantan
South Kalimantan,18766.21,58.32,109438.4,2024,Kalimantan
East Kalimantan,919.3,43.02,3955.26,2024,Kalimantan
North Kalimantan,209.95,50.4,1058.24,2024,Kalimantan
North Sulawesi,30190.23,37.35,112771.9,2024,Sulawesi
Central Sulawesi,19061.15,44.49,84798.45,2024,Sulawesi
South Sulawesi,191012.1,59.24,1131504.0,2024,Sulawesi
Southeast Sulawesi,20135.0,39.46,79444.29,2024,Sulawesi
Gorontalo,128230.6,48.82,625972.1,2024,Sulawesi
West Sulawesi,6019.31,50.33,30295.93,2024,Sulawesi
Maluku,2239.28,33.86,7582.6,2024,Maluku
North Maluku,1316.6,34.41,4530.02,2024,Maluku
West Papua,748.73,49.69,3720.1,2024,Papua
Papua,228.28,52.07,1188.57,2024,Papua
Papua,990.34,39.52,3913.44,2024,Papua
Papua,408.72,51.34,2098.29,2024,Papua
Papua,1243.9,40.49,5036.04,2024,Papua
Papua,48.23,51.23,247.07,2024,Papua
